"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
87,0.146564483294064,0.146564483294064,0.146564483294064,0.146374914148536,0.146754613247065,56655.4679211238,56655.4679211238,56655.4679211238,56576.8419038619,56734.3127789452,6,6,6,6,6
88,0.148133073083952,0.148133073083952,0.148133073083952,0.147938854429868,0.148327872766933,57305.535961904,57305.535961904,57305.535961904,57225.0965553689,57386.20182874,6,6,6,6,6
89,0.149703827351074,0.149703827351074,0.149703827351074,0.149504900910672,0.14990335551226,57955.578043574,57955.578043574,57955.578043574,57873.3046769699,58038.085664757,6,6,6,6,6
90,0.151276714456895,0.151276714456895,0.151276714456895,0.151073022031323,0.151481029769863,58605.5941676885,58605.5941676885,58605.5941676885,58521.4662736742,58689.9642870589,6,6,6,6,6
91,0.152851702656043,0.152851702656043,0.152851702656043,0.152643186130878,0.153060863714133,59255.5843358023,59255.5843358023,59255.5843358023,59169.5813504908,59341.8376957083,6,6,6,6,6
92,0.154428760109703,0.154428760109703,0.154428760109703,0.15421536146041,0.154642825420484,59905.5485494702,59905.5485494702,59905.5485494702,59817.6499124276,59993.7058907676,6,6,6,6,6
93,0.156007854898257,0.156007854898257,0.156007854898257,0.155789516195589,0.156226882878056,60555.4868102466,60555.4868102466,60555.4868102466,60465.671964492,60645.5688722994,6,6,6,6,6
94,0.157588955033234,0.157588955033234,0.157588955033234,0.157365618448567,0.157813004001728,61205.399119686,61205.399119686,61205.399119686,61113.6475116906,61297.4266403663,6,6,6,6,6
95,0.159172028468605,0.159172028468605,0.159172028468605,0.158943636279218,0.159401156643466,61855.2854793426,61855.2854793426,61855.2854793426,61761.5765590294,61949.2791950308,6,6,6,6,6
96,0.160757043111458,0.160757043111458,0.160757043111458,0.160523537705747,0.160991308603066,62505.1458907706,62505.1458907706,62505.1458907706,62409.4591115135,62601.1265363555,6,6,6,6,6
97,0.162343966832107,0.162343966832107,0.162343966832107,0.162105290714741,0.162583427638313,63154.980355524,63154.980355524,63154.980355524,63057.2951741474,63252.9686644028,6,6,6,6,6
98,0.163932767473649,0.163932767473649,0.163932767473649,0.163688863270669,0.164177481474604,63804.7888751567,63804.7888751567,63804.7888751567,63705.0847519349,63904.8055792354,6,6,6,6,6
99,0.16552341286102,0.16552341286102,0.16552341286102,0.165274223324873,0.16577343781406,64454.5714512226,64454.5714512226,64454.5714512226,64352.8278498789,64556.6372809158,6,6,6,6,6
100,0.167115870809567,0.167115870809567,0.167115870809567,0.166861338824088,0.167371264344157,65104.3280852752,65104.3280852752,65104.3280852752,65000.5244729818,65208.4637695064,6,6,6,6,6
101,0.168710109133179,0.168710109133179,0.168710109133179,0.168450177718504,0.168970928745912,65754.0587788682,65754.0587788682,65754.0587788682,65648.1746262452,65860.28504507,6,6,6,6,6
102,0.170306095651977,0.170306095651977,0.170306095651977,0.170040707969412,0.170572398701639,66403.7635335549,66403.7635335549,66403.7635335549,66295.77831467,66512.1011076689,6,6,6,6,6
103,0.171903798199625,0.171903798199625,0.171903798199625,0.171632897556443,0.172175641902307,67053.4423508887,67053.4423508887,67053.4423508887,66943.3355432563,67163.9119573657,6,6,6,6,6
104,0.173503184630252,0.173503184630252,0.173503184630252,0.173226714484436,0.173780626054526,67703.0952324226,67703.0952324226,67703.0952324226,67590.8463170036,67815.717594223,6,6,6,6,6
105,0.175104222825017,0.175104222825017,0.175104222825017,0.174822126789951,0.175387318887169,68352.7221797097,68352.7221797097,68352.7221797097,68238.3106409106,68467.5180183032,6,6,6,6,6
106,0.176706880698351,0.176706880698351,0.176706880698351,0.176419102547447,0.176995688157668,69002.323194303,69002.323194303,69002.323194303,68885.7285199753,69119.3132296691,6,6,6,6,6
107,0.178311126203867,0.178311126203867,0.178311126203867,0.178017609875138,0.178605701657983,69651.8982777552,69651.8982777552,69651.8982777552,69533.099959195,69771.103228383,6,6,6,6,6
108,0.179916927339988,0.179916927339988,0.179916927339988,0.179617616940562,0.180217327220283,70301.4474316191,70301.4474316191,70301.4474316191,70180.4249635662,70422.8880145074,6,6,6,6,6
109,0.181524252155275,0.181524252155275,0.181524252155275,0.181219091965856,0.181830532722335,70950.9706574471,70950.9706574471,70950.9706574471,70827.703538085,71074.667588105,6,6,6,6,6
110,0.183133068753501,0.183133068753501,0.183133068753501,0.18282200323277,0.183445286092629,71600.4679567917,71600.4679567917,71600.4679567917,71474.9356877463,71726.4419492382,6,6,6,6,6
111,0.184743345298467,0.184743345298467,0.184743345298467,0.184426319087429,0.185061555315253,72249.9393312052,72249.9393312052,72249.9393312052,72122.1214175446,72378.2110979697,6,6,6,6,6
112,0.18635505001858,0.18635505001858,0.18635505001858,0.186032007944854,0.186679308434522,72899.3847822398,72899.3847822398,72899.3847822398,72769.2607324736,73029.9750343618,6,6,6,6,6
113,0.187968151211198,0.187968151211198,0.187968151211198,0.187639038293255,0.188298513559383,73548.8043114474,73548.8043114474,73548.8043114474,73416.3536375264,73681.7337584771,6,6,6,6,6
114,0.189582617246774,0.189582617246774,0.189582617246774,0.189247378698114,0.189919138867611,74198.1979203801,74198.1979203801,74198.1979203801,74063.4001376952,74333.4872703783,6,6,6,6,6
115,0.191198416572781,0.191198416572781,0.191198416572781,0.19085699780606,0.191541152609787,74847.5656105895,74847.5656105895,74847.5656105895,74710.4002379715,74985.2355701276,6,6,6,6,6
116,0.192815517717454,0.192815517717454,0.192815517717454,0.192467864348555,0.193164523113098,75496.9073836276,75496.9073836276,75496.9073836276,75357.3539433462,75636.9786577878,6,6,6,6,6
117,0.194433889293343,0.194433889293343,0.194433889293343,0.194079947145395,0.194789218784943,76146.2232410456,76146.2232410456,76146.2232410456,76004.2612588093,76288.7165334213,6,6,6,6,6
118,0.1960535000007,0.1960535000007,0.1960535000007,0.195693215108036,0.196415208116367,76795.5131843952,76795.5131843952,76795.5131843952,76651.1221893506,76940.4491970907,6,6,6,6,6
119,0.197674318630689,0.197674318630689,0.197674318630689,0.197307637242757,0.198042459685335,77444.7772152277,77444.7772152277,77444.7772152277,77297.9367399584,77592.1766488584,6,6,6,6,6
120,0.199296314068448,0.199296314068448,0.199296314068448,0.198923182653667,0.199670942159841,78094.015335094,78094.015335094,78094.015335094,77944.7049156208,78243.898888787,6,6,6,6,6
121,0.200919455296,0.200919455296,0.200919455296,0.200539820545562,0.201300624300872,78743.2275455454,78743.2275455454,78743.2275455454,78591.4267213251,78895.615916939,6,6,6,6,6
122,0.202543711395019,0.202543711395019,0.202543711395019,0.202157520226638,0.202931474965228,79392.4138481328,79392.4138481328,79392.4138481328,79238.1021620579,79547.3277333769,6,6,6,6,6
123,0.204169051549466,0.204169051549466,0.204169051549466,0.203776251111074,0.204563463108209,80041.574244407,80041.574244407,80041.574244407,79884.731242805,80199.0343381633,6,6,6,6,6
